"","lakeID","Sample.date","taxa","sample.point","day.max.depth","night.max.depth","uniqueID","metaDepth","bottomDepth","strategy"
"1","BA","05/20/13","daphnia",1,4,4,"BA_05/20/13",1.5,2,"noDVM"
"2","BA","05/20/13","calanoids",1,6,1,"BA_05/20/13",1.5,2,"reverse"
"3","BA","05/20/13","cyclopoids",1,2,4,"BA_05/20/13",1.5,2,"noDVM"
"4","BA","05/20/13","holopedium",1,4,1,"BA_05/20/13",1.5,2,"reverse"
"5","BA","05/20/13","bosmina",1,4,5,"BA_05/20/13",1.5,2,"noDVM"
"6","BA","05/20/13","diaphanosoma",1,4,4,"BA_05/20/13",1.5,2,"noDVM"
"7","BA","05/20/13","chydorus",1,4,4,"BA_05/20/13",1.5,2,"noDVM"
"8","BA","05/20/13","nauplii",1,6,5,"BA_05/20/13",1.5,2,"noDVM"
"17","BR","05/21/13","daphnia",1,2.5,1,"BR_05/21/13",1.5,3,"reverse"
"18","BR","05/21/13","calanoids",1,1,1,"BR_05/21/13",1.5,3,"bottom"
"19","BR","05/21/13","cyclopoids",1,3.5,3.5,"BR_05/21/13",1.5,3,"noDVM"
"20","BR","05/21/13","holopedium",1,2.5,0,"BR_05/21/13",1.5,3,"reverse"
"21","BR","05/21/13","bosmina",1,1.5,2.5,"BR_05/21/13",1.5,3,"noDVM"
"22","BR","05/21/13","diaphanosoma",1,1.5,1.5,"BR_05/21/13",1.5,3,"noDVM"
"23","BR","05/21/13","chydorus",1,1.5,1.5,"BR_05/21/13",1.5,3,"noDVM"
"24","BR","05/21/13","nauplii",1,2.5,1.5,"BR_05/21/13",1.5,3,"noDVM"
"25","RB","05/23/13","daphnia",1,2,3,"RB_05/23/13",2,2.5,"noDVM"
"26","RB","05/23/13","calanoids",1,0,1,"RB_05/23/13",2,2.5,"bottom"
"27","RB","05/23/13","cyclopoids",1,2,3,"RB_05/23/13",2,2.5,"noDVM"
"28","RB","05/23/13","holopedium",1,2,3,"RB_05/23/13",2,2.5,"noDVM"
"29","RB","05/23/13","bosmina",1,3,0,"RB_05/23/13",2,2.5,"reverse"
"30","RB","05/23/13","diaphanosoma",1,2,3,"RB_05/23/13",2,2.5,"noDVM"
"31","RB","05/23/13","chydorus",1,5,3,"RB_05/23/13",2,2.5,"noDVM"
"32","RB","05/23/13","nauplii",1,1,3,"RB_05/23/13",2,2.5,"normal"
"33","TU","05/28/13","daphnia",1,0,1.5,"TU_05/28/13",1.75,2.5,"bottom"
"34","TU","05/28/13","calanoids",1,10.5,6,"TU_05/28/13",1.75,2.5,"noDVM"
"35","TU","05/28/13","cyclopoids",1,3,3,"TU_05/28/13",1.75,2.5,"noDVM"
"36","TU","05/28/13","holopedium",1,10.5,0,"TU_05/28/13",1.75,2.5,"reverse"
"37","TU","05/28/13","bosmina",1,1.5,0,"TU_05/28/13",1.75,2.5,"bottom"
"38","TU","05/28/13","diaphanosoma",1,1.5,1.5,"TU_05/28/13",1.75,2.5,"bottom"
"39","TU","05/28/13","chydorus",1,1.5,1.5,"TU_05/28/13",1.75,2.5,"bottom"
"40","TU","05/28/13","nauplii",1,3,3,"TU_05/28/13",1.75,2.5,"noDVM"
"41","DW","05/29/13","daphnia",1,2,2,"DW_05/29/13",2.25,3,"bottom"
"42","DW","05/29/13","calanoids",1,1,0,"DW_05/29/13",2.25,3,"bottom"
"43","DW","05/29/13","cyclopoids",1,4,4,"DW_05/29/13",2.25,3,"noDVM"
"44","DW","05/29/13","holopedium",1,1,2,"DW_05/29/13",2.25,3,"bottom"
