Row,Lake_ID,Site Name,date set,datesample,datetimeset,datetimesample,Sample_ID,Fish_ID,Crew,Gear,gear_code,Effort,Effort_units,Fish_Num,Species,SpeciesFull,Length_mm,Weight_g,Tag Apply,Tag Recapture,Clip_apply,Clip_recap,tag_clip_type,Sex,Mort.,Removed,Diet,Otolith,Tissue,Comments,MetaID
2740,BA,Trap15,2013-06-13,2013-06-14,2013-06-13 09:45,2013-06-14 08:30,BA_Trap15_20130614_0830_MT_,BA_Trap15_20130614_0830_MT__1,"LR, EG",MT,minnowtrap_survey,22.75,trap_hours,001,?,,62,3.9,,,,,,,,,,,,,
4466,BR,Trap16,8/1/13,8/2/13,8/1/13 10:00,8/2/13 9:30,BR_Trap16_20130802_0930_MT_,BR_Trap16_20130802_0930_MT__1,"LR, EG",MT,minnowtrap_survey,23.5,trap_hours,001,BCP,black_crappie,27,0.3,,,,,,,,,,,,,
1,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__001,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,001,BHD,black_bullhead,56,0.1,,,,,,,,,,,,,
2,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__002,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,002,BHD,black_bullhead,56,0.2,,,,,,,,,,,,,
3,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__003,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,003,BHD,black_bullhead,61,3.5,,,,,,,,,,,,,
4,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__004,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,004,BHD,black_bullhead,73,5,,,,,,,,,,,,,
5,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__005,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,005,BHD,black_bullhead,104,15.1,,,,,,,,,,,,,
6,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__006,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,006,BHD,black_bullhead,68,4.6,,,,,,,,,,,,,
7,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__007,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,007,BHD,black_bullhead,60,3.2,,,,,,,,,,,,,
8,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__008,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,008,BHD,black_bullhead,67,4,,,,,,,,,,,,,
9,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__009,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,009,BHD,black_bullhead,61,4,,,,,,,,,,,,,
