Row,Lake_ID,Site Name,date set,datesample,datetimeset,datetimesample,Sample_ID,Fish_ID,Crew,Gear,gear_code,Effort,Effort_units,Fish_Num,Species,SpeciesFull,Length_mm,Weight_g,GonadWeight_g,Tag Apply,Tag Recapture,Clip_apply,Clip_recap,tag_clip_type,Sex,Mort.,Removed,Diet,Otolith,Gonad,Left_eye,Tissue,UseCPUE?,Fresh_frozen,Comments,MetaID,2nd Length,2nd weight,net_location
181,RS,FN2.RS,2013-05-15,2013-05-16,2013-05-15 18:00,2013-05-16 09:00,RS_FN2.RS_20130516_0900_FN_GonadSurvey.20130509,RS_FN2.RS_20130516_0900_FN_GonadSurvey.20130509_028,"NC, KR",FN,fykenet_survey,15,trap_hours,028,BCP,,280,,,,,,,,,,,,,,,,yes,,,GonadSurvey.20130509,,,
457,BV,FN3.BV,2013-05-20,2013-05-21,2013-05-20 17:30,2013-05-21 10:00,BV_FN3.BV_20130521_1000_FN_GonadSurvey.20130509,BV_FN3.BV_20130521_1000_FN_GonadSurvey.20130509_006,"NC, KR",FN,fykenet_survey,16.5,trap_hours,006,BCP,,138,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_shore
458,BV,FN3.BV,2013-05-20,2013-05-21,2013-05-20 17:30,2013-05-21 10:00,BV_FN3.BV_20130521_1000_FN_GonadSurvey.20130509,BV_FN3.BV_20130521_1000_FN_GonadSurvey.20130509_007,"NC, KR",FN,fykenet_survey,16.5,trap_hours,007,BCP,,134,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_shore
469,BV,FN3.BV,2013-05-20,2013-05-21,2013-05-20 17:30,2013-05-21 10:00,BV_FN3.BV_20130521_1000_FN_GonadSurvey.20130509,BV_FN3.BV_20130521_1000_FN_GonadSurvey.20130509_018,"NC, KR",FN,fykenet_survey,16.5,trap_hours,018,BCP,,75,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_shore
514,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_001,"NC, KR",FN,fykenet_survey,17,trap_hours,001,BCP,,195,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_west_shore
515,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_002,"NC, KR",FN,fykenet_survey,17,trap_hours,002,BCP,,182,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_west_shore
516,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_003,"NC, KR",FN,fykenet_survey,17,trap_hours,003,BCP,,213,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_west_shore
522,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_009,"NC, KR",FN,fykenet_survey,17,trap_hours,009,BCP,,217,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_west_shore
534,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_021,"NC, KR",FN,fykenet_survey,17,trap_hours,021,BCP,,205,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_west_shore
535,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_022,"NC, KR",FN,fykenet_survey,17,trap_hours,022,BCP,,205,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_west_shore
536,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_023,"NC, KR",FN,fykenet_survey,17,trap_hours,023,BCP,,191,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_west_shore
537,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_024,"NC, KR",FN,fykenet_survey,17,trap_hours,024,BCP,,160,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_west_shore
540,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_027,"NC, KR",FN,fykenet_survey,17,trap_hours,027,BCP,,181,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_west_shore
565,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_052,"NC, KR",FN,fykenet_survey,17,trap_hours,052,BCP,,,,,,,,,,,,,,,,,,,,small,GonadSurvey.20130509,,,north_west_shore
566,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_053,"NC, KR",FN,fykenet_survey,17,trap_hours,053,BCP,,,,,,,,,,,,,,,,,,,,small,GonadSurvey.20130509,,,north_west_shore
567,BV,FN1.BV,2013-05-20,2013-05-21,2013-05-20 18:00,2013-05-21 10:45,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509,BV_FN1.BV_20130521_1045_FN_GonadSurvey.20130509_054,"NC, KR",FN,fykenet_survey,17,trap_hours,054,BCP,,,,,,,,,,,,,,,,,,,,small,GonadSurvey.20130509,,,north_west_shore
