"","X","X.3","X.2","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","mu","growth"
"1",1,1,1,1,"TU","5/28/13","12:00","Day","PML",0,0,0.897777777777778,0.00179064007831311,0.00178077749057683,0.00755183168316832,0.00410122268008956,0.5,8.89,16.4,194.14,22.5668014633516,0.645184853837222,180733.333333333,11533.3333333333,133.333333333333,3466.66666666667,0,10483.56,0.419564395504901,0.00398595656799571,0.067855470265977
"2",2,2,2,2,"TU","5/28/13","12:00","Day","Hypo",0,0,1.03357142857143,0,0,0.00925033724948169,0.000932473604356677,7.5,0.16,4.1,0,22.5668014633516,0.645184853837222,180733.333333333,169200,0,80666.6666666667,133.333333333333,0,0,0,0
"3",3,3,3,3,"DW","5/28/13","23:00","Night","PML",21,1400,0.5465,0.00157971307500425,0.00140826445278943,0.00641224885635865,0.00532277873127123,0.75,8.8,16.7,0,3.22180784726801,0.0921114863533924,286066.666666667,114466.666666667,10933.3333333333,33533.3333333333,26533.3333333333,0,0,0,0.0404863483515708
"4",4,4,4,4,"DW","5/28/13","23:00","Night","Hypo",68,4533.33333333333,1.0415,0,0.000534557241133903,0.00699219461697723,0.00488128993817289,4,5.66,6.3,0,3.22180784726801,0.0921114863533924,286066.666666667,171600,15333.3333333333,92600,24266.6666666667,0,0,0,0.0626173781876627
"5",5,5,5,5,"DW","5/29/13","11:30","Day","PML",0,0,0.5465,0.00157971307500425,0.00140826445278943,0.00641224885635865,0.00532277873127123,0.75,8.8,16.7,129.7,3.22180784726801,0.0921114863533924,335133.333333333,102400,10666.6666666667,27333.3333333333,37133.3333333333,7003.8,0.41910104876334,0.000306212604555556,0.0404863483515708
"6",6,6,6,6,"DW","5/29/13","11:30","Day","Hypo",10,666.666666666667,1.0415,0,0.000534557241133903,0.00699219461697723,0.00488128993817289,4,5.66,6.3,0.1125,3.22180784726801,0.0921114863533924,335133.333333333,232733.333333333,22266.6666666667,168400,10866.6666666667,6.075,0.38133248720202,0.00025350888226158,0.0626173781876627
"7",7,7,7,7,"CB","5/29/13","23:00","Night","PML",92,6133.33333333333,0.847,0.00122100829380117,0,0.00830107792207792,0.00514781113330439,0.5,8.14,20.6,0,0,0,282066.666666667,155866.666666667,6733.33333333333,86200,666.666666666667,0,0,0,0.0427587860863922
"8",8,8,8,8,"CB","5/29/13","23:00","Night","Hypo",18,1200,1.078,0,0.000791774034194011,0.00842641649048626,0.000959918555297811,3.5,1.81,5,0,0,0,282066.666666667,126200,3400,25933.3333333333,2666.66666666667,0,0,0,0.0581563760708074
"9",9,9,9,9,"CB","5/28/13","11:00","Day","PML",3,200,0.847,0.00122100829380117,0,0.00830107792207792,0.00514781113330439,0.5,8.14,20.6,378.466,0,0,333866.666666667,161666.666666667,4466.66666666667,36466.6666666667,800,20437.164,0.420250363036202,0,0.0427587860863922
"10",10,10,10,10,"CB","5/28/13","11:00","Day","Hypo",35,2333.33333333333,1.078,0,0.000791774034194011,0.00842641649048626,0.000959918555297811,3.5,1.81,5,0,0,0,333866.666666667,172200,3733.33333333333,43000,2466.66666666667,0,0,0,0.0581563760708074
