"","X","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","muEst","mu0","mu0.01","mu0.1","mu0.25","mu0.5","mu1","mu5","growth"
"1",1,1,"TU","5/28/13","12:00","Day","PML",0,0,0.897777777777778,0.00179064007831311,0.00178077749057683,0.00755183168316832,0.00410122268008956,0.5,8.89,16.4,194.14,0.403333333,0.001155549999045,180733.333333333,11533.3333333333,133.333333333333,3466.66666666667,0,10483.56,0.419564395504901,7.13899602718034e-06,0,6.17800703827644e-05,0.000617800703827644,0.00154450175956911,0.00308900351913822,0.00617800703827644,0.0308900351913822,0.0685854713383999
"2",2,2,"TU","5/28/13","12:00","Day","Hypo",0,0,1.03357142857143,0,0,0.00925033724948169,0.000932473604356677,7.5,0.16,4.1,0,0.403333333,0.001155549999045,180733.333333333,169200,0,80666.6666666667,133.333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"3",3,3,"DW","5/28/13","23:00","Night","PML",21,1400,0.5465,0.00157971307500425,0.00140826445278943,0.00641224885635865,0.00532277873127123,0.75,8.8,16.7,0,2.144472789,0.006143914540485,286066.666666667,114466.666666667,10933.3333333333,33533.3333333333,26533.3333333333,0,0,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0710095303139416,0.0409426377651824
"4",4,4,"DW","5/28/13","23:00","Night","Hypo",68,4533.33333333333,1.0415,0,0.000534557241133903,0.00699219461697723,0.00488128993817289,4,5.66,6.3,0,2.144472789,0.006143914540485,286066.666666667,171600,15333.3333333333,92600,24266.6666666667,0,0,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.163954095664819,0.0662933969119701
"5",5,5,"DW","5/29/13","11:30","Day","PML",0,0,0.5465,0.00157971307500425,0.00140826445278943,0.00641224885635865,0.00532277873127123,0.75,8.8,16.7,129.7,2.144472789,0.006143914540485,335133.333333333,102400,10666.6666666667,27333.3333333333,37133.3333333333,7003.8,0.41910104876334,2.04246413567875e-05,0,3.32436937756871e-05,0.000332436937756871,0.000831092344392178,0.00166218468878436,0.00332436937756871,0.0166218468878436,0.0409426377651824
"6",6,6,"DW","5/29/13","11:30","Day","Hypo",10,666.666666666667,1.0415,0,0.000534557241133903,0.00699219461697723,0.00488128993817289,4,5.66,6.3,0.1125,2.144472789,0.006143914540485,335133.333333333,232733.333333333,22266.6666666667,168400,10866.6666666667,6.075,0.38133248720202,0.0166202211651021,0.0166033119068811,0.0166308338688315,0.0168785315263854,0.0172913609556419,0.0179794100044027,0.0193555081019243,0.0303642928820971,0.0662933969119701
"7",7,7,"CB","5/29/13","23:00","Night","PML",92,6133.33333333333,0.847,0.00122100829380117,0,0.00830107792207792,0.00514781113330439,0.5,8.14,20.6,0,0,0,282066.666666667,155866.666666667,6733.33333333333,86200,666.666666666667,0,0,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.505135216113507,0.0434370441965446
"8",8,8,"CB","5/29/13","23:00","Night","Hypo",18,1200,1.078,0,0.000791774034194011,0.00842641649048626,0.000959918555297811,3.5,1.81,5,0,0,0,282066.666666667,126200,3400,25933.3333333333,2666.66666666667,0,0,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.195723747419939,0.0963758802193944
"9",9,9,"CB","5/28/13","11:00","Day","PML",3,200,0.847,0.00122100829380117,0,0.00830107792207792,0.00514781113330439,0.5,8.14,20.6,378.466,0,0,333866.666666667,161666.666666667,4466.66666666667,36466.6666666667,800,20437.164,0.420250363036202,0.0248306246726789,0.0248306246726789,0.0248641777638944,0.0251661555848343,0.0256694519530676,0.0265082792334563,0.0281859337942338,0.0416071702804536,0.0434370441965446
"10",10,10,"CB","5/28/13","11:00","Day","Hypo",35,2333.33333333333,1.078,0,0.000791774034194011,0.00842641649048626,0.000959918555297811,3.5,1.81,5,0,0,0,333866.666666667,172200,3733.33333333333,43000,2466.66666666667,0,0,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.346594136056142,0.0963758802193944
"11",11,11,"RE","5/31/13","11:30","Day","PML",15,1000,1.09,0.000963143315524183,0.000875684953434777,0.00842238532110092,0.00132191221778683,0.5,6.12,21.2,69.985,0,0,230200,0,0,0,0,3779.19,0.418306951953,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.113894936000811
"12",12,12,"RE","5/31/13","11:30","Day","Hypo",1,66.6666666666667,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.05,4,0,0,0,230200,230200,3600,106466.666666667,800,0,0,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0.010269455883145,0
"13",13,13,"RE","5/30/13","23:00","Night","PML",0,0,1.09,0.000963143315524183,0.000875684953434777,0.00842238532110092,0.00132191221778683,0.5,5.49,21.5,0,0,0,511400,344400,2933.33333333333,128933.333333333,1666.66666666667,0,0,0,0,0,0,0,0,0,0,0.1133835602472
