"","lakeID","date","dayDifference","normal","reverse","noDVM","bottom","optimal","pml.chaob.day","fishDens","rxDist.pml.day","EPA.diff","DHA.diff","P.diff","diff.C","growth.diff","taxa"
"1","TU","06/09/13",1,Inf,13.1160383368308,Inf,7.05801916841538,"bottom",0,0.645184853837222,0.420139124426422,0.00192435734243253,0,-0.00169850556631337,-0.135793650793652,0.0320091291291966,"daphnia"
"2","TU","07/30/13",0,Inf,1.28509822268907,Inf,1.31815454225638,"reverse",0,0.645184853837222,0.419987174597459,-0.00104212962474437,-0.0004075707301105,0.00424528655597124,0.65214285714286,0.0678008302122751,"daphnia"
"3","DW","05/28/13",1,0.963017965715113,0.974400024030458,0.971136072335711,0.96628191740986,"normal",0,0.0921114863533924,0.41910104876334,0.00157971307500425,0.000873707211655527,-0.00057994576061858,-0.495,-0.0221310298360919,"daphnia"
"4","DW","06/10/13",1,0.966108420329131,0.966319126689285,0.961035192644241,0.971392354374175,"noDVM",0,0.0921114863533924,0.420095808728981,-0.00145040862414611,0,-0.00057994576061858,-0.178,0.0116146229269851,"daphnia"
"5","DW","08/01/13",1,1.01827346176354,1.01832650303296,0.988043302364401,1.0485566624321,"noDVM",133.333333333333,0.0921114863533924,0.420103441482654,-0.00085976276184549,-0.0007330666499883,0.00227341561757197,0.17,0.058425903262136,"daphnia"
"6","CB","05/29/13",1,1.08527418134094,0.983969843598139,1.04288459828789,1.02635942665119,"reverse",200,0,0.420250363036202,0.00122100829380117,-0.000791774034194011,-0.00012533856840834,-0.231,-0.0153975899844152,"daphnia"
"7","CB","06/11/13",1,0.984556470121427,0.968975542763327,0.977189156541868,0.983710169922445,"reverse",0,0,0.421548388136639,-0.000792264948054935,0,-0.00012533856840834,-0.231,0.0315159070762261,"daphnia"
"8","CB","07/31/13",0,1.19511757384081,1.03708788282716,1.00346564462128,1.22873981204669,"noDVM",1333.33333333333,0,0.418670431218961,0.000513256718449,0.00141006935676363,-0.00212408239437642,0.235,0.0336953014557078,"daphnia"
"9","RE","05/30/13",1,0.95106725889457,Inf,Inf,1.01332063178058,"normal",1000,0,0.418306951953,0.000963143315524183,0.000875684953434777,-0.00154999934037302,-0.30083333333333,0.106525762175441,"daphnia"
"10","RE","06/03/13",1,0.948408999116318,1.00931823078317,0.896817998232636,1.00465911539158,"noDVM",0,0,0.418306951953,0.000963143315524183,0.000875684953434777,-0.00154999934037302,-0.30083333333333,0.108902338031467,"daphnia"
"11","RE","06/13/13",1,0.988022909095697,0.985353650313078,0.972183547752138,1.00119301165664,"noDVM",0,0,0.42022441421568,0.000842051422406147,0,-0.00154999934037302,-0.30083333333333,0.0297302973010412,"daphnia"
"12","RE","07/29/13",0,0.971418322390736,0.987778173750023,0.956175368005431,1.00302112813533,"noDVM",133.333333333333,0,0.417867793858955,0.00085402929074615,0.00193809332097732,-0.00154999934037302,-0.30083333333333,0.0605346076967955,"daphnia"
"13","BA","05/19/13",1,1.14486650821664,1.0171199332932,1.16417120399663,0.997815237513223,"bottom",0,0.140288727432146,0.419276621483524,0.000640376156886874,0,-0.00137211300064651,0.1135,-0.0406914721644454,"daphnia"
"14","BA","06/02/13",1,1.01491662320735,1.00943775479392,1.02858910787697,0.9957652701243,"bottom",0,0.140288727432146,0.421347373987518,-0.00143077153726479,-0.00177004522066865,-0.00137211300064651,0.1135,-0.0280239667466177,"daphnia"
"15","BA","07/22/13",0,1.01198827891114,1.00821971918769,1.01510056191046,1.00510743618837,"bottom",0,0.140288727432146,0.417846243985495,0,0,-0.00033442485406841,-0.115,-0.0137617616081641,"daphnia"
"16","BR","05/20/13",1,0.891106284322407,0.936539322386221,0.973105210516253,0.854540396192374,"bottom",533.333333333333,0.0578035965105566,0.416480129463343,-1.5237424084974e-05,-0.000609719266077372,-0.0135393166766401,-1.4665,-0.157056783818501,"daphnia"
"17","BR","06/03/13",1,0.976001261441383,0.98074802288003,0.96774770239371,0.989001581927703,"noDVM",333.333333333333,0.0578035965105566,0.419557970865211,0.00112620452594477,0,-0.0135393166766401,-1.4665,0.0166311318702419,"daphnia"
"18","WL","06/04/13",1,0.976001261441383,0.98074802288003,0.96774770239371,0.989001581927703,"noDVM",0,0,0.417910038187335,NA,NA,NA,NA,NA,"daphnia"
"19","WL","06/24/13",1,0.976001261441383,0.98074802288003,0.96774770239371,0.989001581927703,"noDVM",800,0,0.417269757863686,NA,NA,NA,NA,NA,"daphnia"
"21","WL",NA,3,0.976001261441383,0.98074802288003,0.96774770239371,0.989001581927703,"noDVM",1333.33333333333,0,0.419330184162212,NA,NA,NA,NA,NA,"daphnia"
"22","RB","05/20/13",3,1.07241258372321,1.00669222840739,1.07380884602096,1.00529596610964,"bottom",133.333333333333,0.140288727432146,0.418312028379379,7.387993004413e-05,-0.00326808394448642,0.00043861936577812,-0.57983333333333,0.00538791153961469,"daphnia"
"23","RB","05/22/13",1,1.02131793349184,1.05419387516444,1.02271419578959,1.05279761286668,"normal",133.333333333333,0.140288727432146,0.418312028379379,7.387993004413e-05,-0.00326808394448642,0.00043861936577812,-0.57983333333333,0.00538791153961469,"daphnia"
"24","RB","07/31/13",0,1.02131793349184,1.05419387516444,1.02271419578959,1.05279761286668,"normal",0,0.140288727432146,0.419670432837131,NA,NA,NA,NA,NA,"daphnia"
"26","HB","05/23/13",1,1.29333066402257,19.1842730591709,1.06811331700197,19.4094904061915,"noDVM",0,0.145384031400325,0.415127278913042,0,0.000441748409331279,0.0033323674183766,0.16638888888889,0.0977720838628281,"daphnia"
"27","HB","06/06/13",1,1.02538492176598,1.01512308610108,0.99532697950481,1.04518102836225,"noDVM",0,0.145384031400325,0.419072233561253,0.000657318397006981,0,0.0033323674183766,0.16638888888889,0.0398955945260782,"daphnia"
